Frequency_Hz,SPL_dB,PSD_Pa2_Hz
0.0,18.472583413631444,5.753647904107585e-10
48.90745354481303,26.84481443176997,3.955181187802077e-09
97.81490708962606,26.899091755356245,4.004922494416059e-09
146.7223606344391,19.327423871149797,7.005309497578018e-10
195.62981417925212,14.384134890869582,2.2443905391190486e-10
244.53726772406515,13.982718237435954,2.046240913908035e-10
293.4447212688782,12.114160509670885,1.330763838973642e-10
342.3521748136912,9.4804821288303,7.25659947652113e-11
391.25962835850424,8.11226412779367,5.295553415058677e-11
440.1670819033173,6.78094232016027,3.8974376145994394e-11
489.0745354481303,6.104481922308222,3.335286399176915e-11
537.9819889929433,6.3022616028993905,3.49068854266711e-11
586.8894425377564,5.358478851578169,2.8088776689550035e-11
635.7968960825694,3.0981818464722504,1.6691798174761434e-11
684.7043496273824,1.4783644324948466,1.1495328419435008e-11
733.6118031721954,-0.11668129649342196,7.961901686160777e-12
782.5192567170085,-0.862922407631282,6.704906090812302e-12
831.4267102618215,-1.7265702199112734,5.495762017666603e-12
880.3341638066346,-1.5299640979210727,5.7502738832492284e-12
929.2416173514475,-1.4245218405643831,5.89159325357508e-12
978.1490708962606,-2.362541524462454,4.747126313955062e-12
1027.0565244410736,-2.324802112883302,4.788557745372907e-12
1075.9639779858867,-3.3507012862717382,3.781070818112317e-12
1124.8714315306997,-3.9354919848611014,3.3047281647362565e-12
1173.7788850755128,-4.257446404496884,3.0686001349039823e-12
1222.6863386203258,-4.173285662681974,3.1286456225101035e-12
1271.593792165139,-2.871500431038459,4.222162042978138e-12
1320.5012457099517,-4.205192002119998,3.105744608968249e-12
1369.4086992547648,-5.0978565946209065,2.5287114834199236e-12
1418.3161527995778,-4.880779087351155,2.6583186092306586e-12
1467.2236063443909,-4.085331859301367,3.1926532601920994e-12
1516.131059889204,-4.736029495132165,2.7484129787760966e-12
1565.038513434017,-5.261425326760401,2.4352435826725587e-12
1613.94596697883,-4.889439594775976,2.653022790575109e-12
1662.853420523643,-4.23900358253999,3.0816590118524487e-12
1711.7608740684561,-3.787999692281258,3.418888764592541e-12
1760.6683276132692,-4.696115306089748,2.7737889239469177e-12
1809.5757811580822,-5.258560613116017,2.4368504593834677e-12
1858.483234702895,-4.8094440658401965,2.702343384725589e-12
1907.390688247708,-5.47817985528131,2.3166848292969215e-12
1956.2981417925212,-5.371593879948965,2.374245110269128e-12
2005.2055953373342,-4.433369448134475,2.9467819122604504e-12
2054.1130488821473,-4.618876928448858,2.823561473065381e-12
2103.0205024269603,-4.57624736128161,2.8514135176112196e-12
2151.9279559717734,-5.087610785130815,2.5346842237941252e-12
2200.8354095165864,-6.198357359836843,1.9626786771905693e-12
2249.7428630613995,-6.4870820029713,1.8364399842129868e-12
2298.6503166062125,-6.38922882998981,1.8782874522649488e-12
2347.5577701510256,-6.128137032733466,1.994670831673629e-12
2396.4652236958386,-6.006212904561686,2.05146281725626e-12
2445.3726772406517,-7.098137513371723,1.5954058820706753e-12
2494.2801307854647,-6.5062777518357,1.8283408601009306e-12
2543.187584330278,-6.48019885765856,1.8393528707586834e-12
2592.095037875091,-6.734278913335137,1.7348305002088293e-12
2641.0024914199034,-6.953278832795408,1.6495179920922322e-12
2689.9099449647165,-6.993306162217795,1.6343848352987103e-12
2738.8173985095295,-7.22173804118111,1.5506405476306258e-12
2787.7248520543426,-6.898121527305213,1.6706011941956654e-12
2836.6323055991556,-7.724050367801192,1.3812742111570846e-12
2885.5397591439687,-7.271558438708182,1.5329539060551799e-12
2934.4472126887817,-8.037799199795296,1.2850055998793256e-12
2983.354666233595,-8.512575077971496,1.1519335637562963e-12
3032.262119778408,-7.7820952366014415,1.3629358544946172e-12
3081.169573323221,-8.60005666850557,1.1289618680652028e-12
3130.077026868034,-9.711203759097476,8.741069319345151e-13
3178.984480412847,-9.421582007997674,9.343868965500939e-13
3227.89193395766,-10.189191861276436,7.830071974171863e-13
3276.799387502473,-10.971390055209149,6.539520939548152e-13
3325.706841047286,-9.61375030268481,8.939431687504198e-13
3374.614294592099,-8.700291768189237,1.1032038363881497e-12
3423.5217481369123,-9.145410899624418,9.957351776303164e-13
3472.4292016817253,-9.735635937773246,8.692032599404763e-13
3521.3366552265384,-11.120614650353374,6.318638003279216e-13
3570.2441087713514,-10.78125020561853,6.8321897531779e-13
3619.1515623161645,-10.308796932090033,7.617373435346175e-13
3668.059015860977,-10.02223027347541,8.136954975393594e-13
3716.96646940579,-10.288718183047276,7.652672395469994e-13
3765.873922950603,-11.623169275497528,5.628180442450709e-13
3814.781376495416,-11.370289116189227,5.965626079052431e-13
3863.6888300402293,-12.226868518166754,4.89776663586494e-13
3912.5962835850423,-12.83126754246027,4.2614577401001747e-13
3961.5037371298554,-12.31669271714116,4.797507568349181e-13
4010.4111906746684,-13.137326492383433,3.9714791878077334e-13
4059.3186442194815,-13.596964400730005,3.5726337793266225e-13
4108.2260977642945,-12.389505901246537,4.717743773531895e-13
4157.133551309108,-12.040498428727645,5.11252091128085e-13
4206.041004853921,-13.307353271037313,3.818999602267603e-13
4254.948458398733,-12.773010829882697,4.3190064961038796e-13
4303.855911943547,-11.818655791505126,5.380459430506268e-13
4352.763365488359,-12.726709773537245,4.365298667772783e-13
4401.670819033173,-13.424521971409437,3.71734392203632e-13
4450.578272577985,-13.511365177633468,3.643748744687738e-13
4499.485726122799,-14.837476892078056,2.6849564821739375e-13
4548.393179667612,-14.145492698731307,3.1487318009297765e-13
4597.300633212425,-13.689992169090077,3.496920212486941e-13
4646.208086757238,-13.322913664542975,3.805340942403775e-13
4695.115540302051,-12.693820241096471,4.398482983411761e-13
4744.022993846864,-13.830191919905545,3.385834674101702e-13
4792.930447391677,-14.594799657895624,2.8392587604261605e-13
4841.83790093649,-14.658447536553878,2.797951528857151e-13
4890.745354481303,-15.560902337656664,2.2729752483340872e-13
4939.652808026116,-16.484376244609365,1.8375844866792552e-13
4988.5602615709295,-16.233508536152183,1.9468571507036023e-13
5037.467715115742,-15.134267457114277,2.507599615273979e-13
5086.375168660556,-15.789170865803062,2.156591323817357e-13
5135.282622205368,-14.94076274982097,2.6218549735764867e-13
5184.190075750182,-13.799345660014207,3.409968555613541e-13
5233.097529294994,-14.73759715443265,2.7474210717143397e-13
5282.004982839807,-15.67016559014226,2.2165032949257548e-13
5330.91243638462,-15.248116102419067,2.4427179850341586e-13
5379.819889929433,-15.486989352099933,2.3119902860295844e-13
5428.7273434742465,-16.174373413972983,1.9735475692907344e-13
5477.634797019059,-17.4702173290164,1.4644117583406958e-13
5526.542250563873,-17.03373934713017,1.6192391867843413e-13
5575.449704108685,-16.14072506563242,1.9888976457328455e-13
5624.357157653499,-16.81012031700625,1.7047979267386188e-13
5673.264611198311,-16.486855574381995,1.836535733381437e-13
5722.172064743125,-16.44097023762206,1.8560424997175506e-13
5771.079518287937,-16.52969462764551,1.818509095116562e-13
5819.986971832751,-17.145903830874733,1.5779547939385412e-13
5868.8944253775635,-17.750326532985007,1.3729423038511245e-13
5917.801878922377,-16.654538435688714,1.7669778143912649e-13
5966.70933246719,-16.66621076825604,1.7622351657364448e-13
6015.616786012003,-16.719777979321027,1.7406327171447225e-13
6064.524239556816,-17.958607754156407,1.3086519746839443e-13
6113.431693101629,-17.79047009819401,1.360310124484308e-13
6162.339146646442,-17.219364526280966,1.5514882384279316e-13
6211.246600191255,-18.404487483688484,1.1809627298559947e-13
6260.154053736068,-19.176531119062872,9.886255458603337e-14
6309.0615072808805,-18.386051056770533,1.1859867431997695e-13
6357.968960825694,-19.215404563850743,9.798159026041367e-14
6406.876414370507,-19.6592906390141,8.846182124491122e-14
6455.78386791532,-19.376691510876874,9.440951990767928e-14
6504.691321460133,-18.790045254613744,1.0806384469015386e-13
6553.598775004946,-18.97766187999669,1.034948530537069e-13
6602.506228549759,-20.306333690337198,7.621695100765637e-14
6651.413682094572,-19.896055079423345,8.376824799413661e-14
6700.321135639385,-20.48588683348891,7.313011508894472e-14
6749.228589184198,-20.637511540180377,7.062098752901535e-14
6798.136042729011,-19.948985840198084,8.275349718317126e-14
6847.0434962738245,-19.384414663333555,9.424177861503266e-14
6895.950949818637,-20.099704936245516,7.993085280806703e-14
6944.858403363451,-19.889900181825062,8.388704998923216e-14
6993.765856908263,-19.850951956533905,8.464274603697553e-14
7042.673310453077,-19.56469149969083,9.040985865533723e-14
7091.580763997889,-19.758139644434632,8.647109843245148e-14
7140.488217542703,-20.416071767587404,7.431521926228592e-14
7189.395671087515,-20.72213825797913,6.925818632893454e-14
7238.303124632329,-21.060139689815614,6.407239695032471e-14
7287.2105781771415,-21.043859238338367,6.431303670772611e-14
7336.118031721954,-21.617848726813058,5.6350797606850534e-14
7385.025485266768,-22.436403622096574,4.6670728289629417e-14
7433.93293881158,-21.600827446758647,5.65720863466346e-14
7482.840392356394,-21.34288126295924,6.003393545378034e-14
7531.747845901206,-21.240570345713557,6.146500279069137e-14
7580.65529944602,-20.624226456382573,7.083734813870552e-14
7629.562752990832,-20.89885826346407,6.649655003815826e-14
7678.470206535646,-23.16546843391286,3.9458275145831696e-14
7727.377660080459,-22.953555899238633,4.143137535079172e-14
7776.285113625272,-20.841926259283245,6.737399722326471e-14
7825.192567170085,-21.63087429342211,5.6182040813381295e-14
7874.100020714898,-22.2611951427136,4.859207288356517e-14
7923.007474259711,-22.47733435015511,4.62329393276886e-14
7971.914927804524,-22.320729844494235,4.7930499594050445e-14
8020.822381349337,-22.300418326978804,4.8155190754818984e-14
8069.72983489415,-22.815619585573454,4.2768397876077716e-14
8118.637288438963,-22.500171310581656,4.599046590349312e-14
8167.5447419837765,-23.69530628372776,3.4926439273831593e-14
8216.452195528589,-24.364796422154956,2.993679462917908e-14
8265.359649073402,-24.405599128181525,2.965685046718263e-14
8314.267102618216,-23.85540703172709,3.366233495322262e-14
8363.174556163029,-23.59559907052629,3.573757116562523e-14
8412.082009707841,-23.258483602637263,3.862216189561199e-14
8460.989463252654,-23.539070446255558,3.620577895555567e-14
8509.896916797466,-24.58768600483058,2.843913217989989e-14
8558.80437034228,-24.54740817915102,2.870411242298596e-14
8607.711823887093,-26.125337889737253,1.9959568642672206e-14
8656.619277431906,-25.550960272461936,2.278184606282552e-14
8705.526730976719,-24.43752321032057,2.943964842245631e-14
8754.434184521533,-24.747595081160778,2.7411034871677704e-14
8803.341638066346,-24.525831435234487,2.884707586706984e-14
8852.249091611158,-24.886483803243458,2.6548290422720033e-14
8901.15654515597,-24.697900941655288,2.7726486934645067e-14
8950.063998700785,-24.74482402772332,2.7428530300097174e-14
8998.971452245598,-24.048316710232058,3.219980704488029e-14
9047.87890579041,-24.983576627747933,2.5961350315618784e-14
9096.786359335223,-26.275247874972912,1.9282358486362705e-14
9145.693812880038,-26.826554991514758,1.6983587813677537e-14
9194.60126642485,-25.172006421885882,2.485903684615779e-14
9243.508719969663,-24.806322674990042,2.704286329489667e-14
9292.416173514475,-25.05383684962701,2.5544726388638578e-14
9341.32362705929,-25.149329585201063,2.4989178641696208e-14
9390.231080604102,-25.137567717236855,2.5056947816329692e-14
9439.138534148915,-24.902375977328134,2.6451319574170462e-14
9488.045987693728,-25.36959337324759,2.375339019483757e-14
9536.95344123854,-25.87105888904361,2.1163088658950513e-14
9585.860894783355,-25.488824439976323,2.311013573388484e-14
9634.768348328167,-25.467436731128483,2.322422696662529e-14
9683.67580187298,-25.546277579002094,2.280642338068036e-14
9732.583255417792,-26.097448366040524,2.0088157447496962e-14
9781.490708962607,-26.360493871788783,1.89075628662782e-14
9830.39816250742,-26.969506667108078,1.6433659092987083e-14
9879.305616052232,-28.507803191214588,1.1531999665679763e-14
9928.213069597045,-28.207722688988554,1.2356989320786548e-14
9977.120523141859,-27.926576016449033,1.3183397247155305e-14
10026.027976686672,-27.119313028826127,1.5876458677492635e-14
10074.935430231484,-25.909666381588373,2.097578882527949e-14
10123.842883776297,-25.56097709536762,2.2729361225861848e-14
10172.750337321111,-26.568705892310504,1.8022471649207122e-14
10221.657790865924,-27.28679992510004,1.527583461264574e-14
10270.565244410736,-27.134500972678683,1.5821033239579628e-14
10319.472697955549,-27.51679504798898,1.448789985881326e-14
10368.380151500363,-26.538998248355764,1.8146175858855966e-14
10417.287605045176,-28.385812783748715,1.1860518134249454e-14
10466.195058589989,-27.23043216344105,1.5475394321830984e-14
10515.102512134801,-27.962855736349276,1.3073725634513409e-14
10564.009965679614,-27.776412620624352,1.36472038335137e-14
10612.917419224428,-26.948514164391433,1.651328680337689e-14
10661.82487276924,-28.34024891101269,1.198560743538963e-14
10710.732326314053,-28.480043708426038,1.1605946637393149e-14
10759.639779858866,-28.277559279087786,1.215987225049643e-14
10808.54723340368,-28.832277193161474,1.0701809622763173e-14
10857.454686948493,-29.533089333472972,9.107014056465605e-15
10906.362140493306,-29.111935344221777,1.0034399920586737e-14
10955.269594038118,-29.62762576067658,8.91091629607993e-15
11004.177047582933,-27.93796396639941,1.3148873390558351e-14
