Frequency_Hz,SPL_dB,Amplitude_RMS_Pa
3.760060496084316810e+02,-6.275155465903466734e+00,9.711184883092317897e-06
3.800061139659681544e+02,-2.719418915368270628e+00,1.462375996415380054e-05
3.840061783235046846e+02,-7.198738306605869663e-01,1.840925884200211214e-05
3.880062426810412148e+02,-2.110989209137628997e+00,1.568485597612527779e-05
3.920063070385776882e+02,-1.292225944234319801e+00,1.723529409686878956e-05
3.960063713961142184e+02,-9.182916465244923554e-01,1.799349026857519681e-05
4.000064357536506918e+02,-1.781427073007807227e+00,1.629140881705123671e-05
4.040065001111872220e+02,-1.712419220581855805e+00,1.642135669313248648e-05
4.080065644687237523e+02,-4.492863568353373083e+00,1.192303495664986674e-05
4.120066288262602257e+02,-1.260332450846033936e+01,4.686663475386214115e-06
4.160066931837967559e+02,-2.450830390342785492e+00,1.508302587724463328e-05
4.200067575413332293e+02,-2.731535531537007344e+00,1.460337437753807549e-05
4.240068218988697595e+02,-6.254268916744346818e+00,9.734565010650061219e-06
4.280068862564062897e+02,-5.196390616396380224e+00,1.099538561254809523e-05
4.320069506139427631e+02,-4.639016881752354493e+00,1.172409021420351362e-05
4.360070149714792933e+02,-8.859050355098148088e+00,7.212361358569070173e-06
4.400070793290157667e+02,-7.529648644675825508e+00,8.405190547357221877e-06
4.440071436865522969e+02,-3.343333863819151208e+00,1.361016224719263361e-05
4.480072080440887703e+02,-1.284516972948624991e+00,1.725059769518820930e-05
4.520072724016253005e+02,-4.044651713731743925e+00,1.255444186512755655e-05
4.560073367591618307e+02,-9.287905784423069022e+00,6.864907763281269584e-06
4.600074011166983041e+02,-2.375958344504760067e+00,1.521360297603129629e-05
4.640074654742348343e+02,-2.828374322273823793e+00,1.444146591483908984e-05
4.680075298317713077e+02,-1.619218361420465158e+00,1.659850897405892653e-05
4.720075941893078380e+02,-4.109692309610268879e+00,1.246078435364690667e-05
4.760076585468443682e+02,-1.011517883590874689e+01,6.241242452427809133e-06
4.800077229043808416e+02,-1.072168149929746406e+01,5.820307375149755594e-06
4.840077872619173718e+02,-7.257318853681391957e+00,8.672894289541768561e-06
4.880078516194538452e+02,-8.505847514886557548e+00,7.511689363401429313e-06
4.920079159769903754e+02,-5.235791854497358067e+00,1.094562091509281070e-05
4.960079803345269056e+02,-2.920108084687627503e+00,1.428974870292185604e-05
5.000080446920633790e+02,-7.721100800925579044e+00,8.221952351942190176e-06
5.040081090495999092e+02,-6.819887196278337171e+00,9.120856770900223954e-06
5.080081734071363826e+02,-2.379610897890491295e+00,1.520720676133162115e-05
5.120082377646729128e+02,-4.134085085736506571e+00,1.242583954823820472e-05
5.160083021222094430e+02,-6.124725224911301780e+00,9.880836987204359335e-06
5.200083664797459733e+02,-1.558114726885811940e+01,3.326385908672628601e-06
5.240084308372823898e+02,-6.466698900076746526e+00,9.499375400641060549e-06
5.280084951948189200e+02,-8.674747927953227133e+00,7.367032728957454778e-06
5.320085595523554503e+02,-1.357599153867463571e+01,4.190158186554554024e-06
5.360086239098919805e+02,-9.779828855926144371e+00,6.486920161989492312e-06
5.400086882674285107e+02,-5.274617025007409588e+00,1.089680412717754472e-05
5.440087526249649272e+02,-2.945683232285116748e+00,1.424773516917921520e-05
5.480088169825014575e+02,-9.384891554470813801e+00,6.788681254428033576e-06
5.520088813400379877e+02,-5.854669134286252685e+00,1.019287126033555358e-05
5.560089456975745179e+02,-6.971437802673317918e+00,8.963097187413519642e-06
5.600090100551110481e+02,-9.859033045454530964e+00,6.428036637060959198e-06
5.640090744126474647e+02,-3.853795128224508204e+00,1.283335592314121576e-05
5.680091387701839949e+02,-1.500829938318922530e+00,1.682629500057369692e-05
5.720092031277205251e+02,-5.152892256539198357e+00,1.105058788452919507e-05
5.760092674852570553e+02,-2.555526689439316712e+00,1.490231232579507103e-05
5.800093318427935856e+02,-6.710837667273350959e+00,9.236089066441585706e-06
5.840093962003300021e+02,-7.086207967286286546e+00,8.845443184306509880e-06
5.880094605578665323e+02,-6.660588866339566039e+00,9.289675682642683556e-06
5.920095249154030626e+02,-5.893185474100319787e+00,1.014777249120299813e-05
5.960095892729395928e+02,-9.759292447966670281e+00,6.502275601104404744e-06
6.000096536304761230e+02,-6.200332801807460825e+00,9.795201074855188308e-06
6.040097179880125395e+02,-4.951542961933838249e+00,1.130974589941669623e-05
6.080097823455490698e+02,-6.604491467411374828e+00,9.349866765973825815e-06
6.120098467030856000e+02,-4.668436433961787202e+00,1.168444729553097407e-05
6.160099110606221302e+02,-7.072125854892203911e+00,8.859795606360591045e-06
6.200099754181586604e+02,-5.992602010749373598e+00,1.003228578318204798e-05
6.240100397756950770e+02,-5.543036411634307825e+00,1.056521100542448218e-05
6.280101041332316072e+02,-9.126204023233135842e+00,6.993906056781338783e-06
6.320101684907681374e+02,-8.540066077412058476e+00,7.482154845156565265e-06
6.360102328483046676e+02,-1.031800493958982834e+01,6.097190280958259532e-06
6.400102972058411979e+02,-9.518839686587700299e+00,6.684793735857571488e-06
6.440103615633776144e+02,-6.156478447320451686e+00,9.844781311072178039e-06
6.480104259209141446e+02,-2.338396657091192044e+00,1.527953588635952222e-05
6.520104902784506749e+02,-6.203297377885017561e+00,9.791858450785845885e-06
6.560105546359872051e+02,-9.121229275284541416e+00,6.997912887030485778e-06
6.600106189935236216e+02,-1.300354351830459976e+01,4.475616020596352765e-06
6.640106833510601518e+02,-1.228534171312661449e+01,4.861417387955079857e-06
