Frequency_Hz,SPL_Experiment_dB,SPL_Simulation_Baseline_dB,SPL_Simulation_Final_dB,Diff_Final_minus_Exp_dB,Applied_Correction_dB
3.456250000000000000e+02,1.451416397000000025e+01,9.382814040955221202e+00,1.323155434653076767e+01,-1.282609623469232574e+00,3.848740305575546472e+00
3.462500000000000000e+02,1.293594170000000076e+01,9.365512566200706601e+00,1.321541526272886102e+01,2.794735627288602586e-01,3.849902696528154422e+00
3.468750000000000000e+02,1.281989573999999976e+01,9.348211091446192000e+00,1.319625350856418855e+01,3.763577685641887882e-01,3.848042417117996550e+00
3.475000000000000000e+02,1.367441462999999935e+01,9.330909616691677400e+00,1.317429929859022231e+01,-5.001153314097770419e-01,3.843389681898544907e+00
3.481250000000000000e+02,1.221645737000000054e+01,9.313608141937162799e+00,1.314974405143343716e+01,9.332866814334366268e-01,3.836135909496273477e+00
3.487500000000000000e+02,1.257936381999999931e+01,9.296306667182648198e+00,1.312283618742852198e+01,5.434723674285226735e-01,3.826529520245873783e+00
3.493750000000000000e+02,1.257936381999999931e+01,9.279005192428133597e+00,1.309380608423905024e+01,5.144422642390509282e-01,3.814800891810916639e+00
3.500000000000000000e+02,1.257936381999999931e+01,9.261703717673618996e+00,1.306286695460327252e+01,4.835031346032732102e-01,3.801163236929653966e+00
3.506250000000000000e+02,1.257936381999999931e+01,9.244402242919104395e+00,1.303029710933815011e+01,4.509332893381508001e-01,3.785894866419044824e+00
3.512500000000000000e+02,1.239791106999999926e+01,9.227100768164589795e+00,1.299636328171035515e+01,5.984522117103558969e-01,3.769262513545765358e+00
3.518750000000000000e+02,1.231140423000000084e+01,9.209799293410075194e+00,1.296132001500083319e+01,6.499157850008323578e-01,3.751520721590758445e+00
3.525000000000000000e+02,1.233883286000000012e+01,9.192497818655560593e+00,1.292540474706634868e+01,5.865718870663485518e-01,3.732906928410788527e+00
3.531250000000000000e+02,1.256248474000000037e+01,9.175196343901045992e+00,1.288885135165904039e+01,3.263666116590400179e-01,3.713655007757994397e+00
3.537500000000000000e+02,1.369551373000000005e+01,9.157894869146533168e+00,1.285191318158087626e+01,-8.436005484191237969e-01,3.694018312434343532e+00
3.543750000000000000e+02,1.144844531999999937e+01,9.140593394392018567e+00,1.281485367228007277e+01,1.366408352280073402e+00,3.674260277888053317e+00
3.550000000000000000e+02,1.221856688999999996e+01,9.123291919637503966e+00,1.277787382720621778e+01,5.593069372062178246e-01,3.654581907568713817e+00
3.556250000000000000e+02,1.313005446999999926e+01,9.105990444882989365e+00,1.274121872943424805e+01,-3.888357405657512089e-01,3.635228284551259126e+00
3.562500000000000000e+02,1.214894008999999997e+01,9.088688970128474764e+00,1.270509444929992071e+01,5.561543592999207419e-01,3.616405479171446835e+00
3.568750000000000000e+02,1.166576766999999926e+01,9.071387495373960164e+00,1.266971484353854649e+01,1.003947173538547233e+00,3.598327348164585437e+00
3.575000000000000000e+02,1.378835010999999966e+01,9.054086020619445563e+00,1.263527508185180714e+01,-1.153075028148192516e+00,3.581189061232361581e+00
3.581250000000000000e+02,1.460278130000000019e+01,9.036784545864930962e+00,1.260195608350431762e+01,-2.000825216495682568e+00,3.565171537639386212e+00
3.587500000000000000e+02,1.266165160999999983e+01,9.019483071110416361e+00,1.256993397040764826e+01,-9.171763959235157415e-02,3.550450899297232343e+00
3.593750000000000000e+02,1.235149288000000034e+01,9.002181596355901760e+00,1.253937565212147653e+01,1.878827721214761937e-01,3.537194055765574774e+00
3.600000000000000000e+02,1.334104632999999929e+01,8.984880121601387160e+00,1.251040819559859685e+01,-8.306381344014024393e-01,3.525528073997209244e+00
3.606250000000000000e+02,1.285154437999999999e+01,8.967578646846872559e+00,1.248317691864458823e+01,-3.683674613554117627e-01,3.515598271797715224e+00
3.612500000000000000e+02,1.245909881999999946e+01,8.950277172092357958e+00,1.245779510919384947e+01,-1.303710806149993573e-03,3.507517937101491956e+00
3.618750000000000000e+02,1.238103103999999988e+01,8.932975697337845133e+00,1.243434806499809042e+01,5.331702499809054530e-02,3.501372367660245732e+00
3.625000000000000000e+02,1.170585632000000054e+01,8.915674222583330533e+00,1.241293298003347090e+01,7.070766600334703611e-01,3.497258757450139921e+00
3.631250000000000000e+02,1.138936709999999941e+01,8.898372747828815932e+00,1.239361839644369212e+01,1.004251296443692709e+00,3.495245648614876188e+00
3.637500000000000000e+02,1.047366047000000044e+01,8.881071273074301331e+00,1.237645120627403017e+01,1.902790736274029726e+00,3.495379933199728395e+00
3.643750000000000000e+02,1.132817936000000003e+01,8.863769798319786730e+00,1.236149635638938094e+01,1.033316996389380904e+00,3.497726558069594205e+00
3.650000000000000000e+02,1.181768227000000060e+01,8.846468323565272129e+00,1.234875269679232623e+01,5.310704267923256339e-01,3.502284373227054104e+00
3.656250000000000000e+02,1.106865883000000039e+01,8.829166848810757529e+00,1.233820528035334618e+01,1.269546450353345790e+00,3.509038431542588654e+00
3.662500000000000000e+02,1.094628334000000081e+01,8.811865374056242928e+00,1.232984929778899108e+01,1.383565957788990275e+00,3.517983923732748597e+00
3.668750000000000000e+02,1.131340980999999957e+01,8.794563899301728327e+00,1.232365469443926287e+01,1.010244884439263302e+00,3.529090795137533654e+00
3.675000000000000000e+02,1.236626148000000036e+01,8.777262424547213726e+00,1.231953958031582985e+01,-4.672189968417050920e-02,3.542277155768615238e+00
3.681250000000000000e+02,1.325031947999999993e+01,8.759960949792699125e+00,1.231743946347014784e+01,-9.328800165298520852e-01,3.557478513677449605e+00
3.687500000000000000e+02,1.106021881000000029e+01,8.742659475038184524e+00,1.231728205385536157e+01,1.257063243855361279e+00,3.574622578817177931e+00
3.693750000000000000e+02,1.223966693999999933e+01,8.725358000283669924e+00,1.231897084747484605e+01,7.930390747484672431e-02,3.593612847191176130e+00
3.700000000000000000e+02,1.225443553999999935e+01,8.708056525529155323e+00,1.232236760274273379e+01,6.793206274273444478e-02,3.614311077213578027e+00
3.706250000000000000e+02,9.944069861999999205e+00,8.690755050774640722e+00,1.232734617478683958e+01,2.383276312786840379e+00,3.636591124012198417e+00
3.712500000000000000e+02,9.960948944000000083e+00,8.673453576020127898e+00,1.233375639504788168e+01,2.372807451047881599e+00,3.660302819027754673e+00
3.718750000000000000e+02,1.014451217999999955e+01,8.656152101265613297e+00,1.234144010735164443e+01,2.196927927351644882e+00,3.685288006086032020e+00
3.725000000000000000e+02,1.103911972000000041e+01,8.638850626511098696e+00,1.235022595003146151e+01,1.311106230031461095e+00,3.711375323520361924e+00
3.731250000000000000e+02,1.432638073000000034e+01,8.621549151756584095e+00,1.235995296386923847e+01,-1.966427766130761867e+00,3.738403812112653934e+00
3.737500000000000000e+02,1.356680869999999928e+01,8.604247677002069494e+00,1.237048333242602283e+01,-1.196325367573976450e+00,3.766235655423954221e+00
3.743750000000000000e+02,1.316803265000000067e+01,8.586946202247554893e+00,1.238161083143125474e+01,-7.864218185687459339e-01,3.794664629183699844e+00
3.750000000000000000e+02,1.351406002000000051e+01,8.569644727493040293e+00,1.239311119851545406e+01,-1.120948821484546443e+00,3.823466471022414215e+00
3.756250000000000000e+02,1.279457664000000072e+01,8.552343252738525692e+00,1.240482048550610550e+01,-3.897561544938952238e-01,3.852477232767579807e+00
3.762500000000000000e+02,1.222278689999999912e+01,8.535041777984011091e+00,1.241658077699649176e+01,1.937938769964926422e-01,3.881538999012481117e+00
3.768750000000000000e+02,1.059814644000000072e+01,8.517740303229496490e+00,1.242820117473997499e+01,1.830054734739974265e+00,3.910460871510478498e+00
3.775000000000000000e+02,1.197381591999999983e+01,8.500438828474981889e+00,1.243951694405331665e+01,4.657010240533168144e-01,3.939078115578334760e+00
3.781250000000000000e+02,1.260679340000000082e+01,8.483137353720467289e+00,1.245040358554069115e+01,-1.563898144593096617e-01,3.967266231820223421e+00
3.787500000000000000e+02,1.335159587999999964e+01,8.465835878965954464e+00,1.246069669450328377e+01,-8.908991854967158730e-01,3.994860815537329746e+00
3.793750000000000000e+02,1.440655804000000018e+01,8.448534404211439863e+00,1.247025511070368253e+01,-1.936302929296317643e+00,4.021720706492241781e+00
3.800000000000000000e+02,1.442343711999999911e+01,8.431232929456925262e+00,1.247897729873768213e+01,-1.944459821262316979e+00,4.047744369280757759e+00
3.806250000000000000e+02,1.426519298999999918e+01,8.413931454702410662e+00,1.248675617881385946e+01,-1.778436811186139721e+00,4.072824724111448802e+00
3.812500000000000000e+02,1.422088431999999969e+01,8.396629979947896061e+00,1.249351738143124280e+01,-1.727366938568756893e+00,4.096887401483347624e+00
3.818750000000000000e+02,1.398035336000000051e+01,8.379328505193381460e+00,1.249917435485964035e+01,-1.481179005140360161e+00,4.119845849666259774e+00
3.825000000000000000e+02,1.285787391999999940e+01,8.362027030438866859e+00,1.250368609751608417e+01,-3.541878224839152267e-01,4.141659067077216427e+00
3.831250000000000000e+02,1.133028984000000072e+01,8.344725555684352258e+00,1.250703896936964021e+01,1.176749129369639491e+00,4.162313413685287955e+00
3.837500000000000000e+02,1.286209393000000034e+01,8.327424080929837658e+00,1.250919070349835138e+01,-3.529032265016489589e-01,4.181766622568514613e+00
3.843750000000000000e+02,1.128176116999999934e+01,8.310122606175323057e+00,1.251015317872847632e+01,1.228392008728476981e+00,4.200030572553153263e+00
3.850000000000000000e+02,1.203289413000000074e+01,8.292821131420808456e+00,1.250994319861199955e+01,4.770490686119988055e-01,4.217122067191190204e+00
3.856250000000000000e+02,1.352672004999999977e+01,8.275519656666293855e+00,1.250857837110716630e+01,-1.018141678892833468e+00,4.233058714440873338e+00
3.862500000000000000e+02,1.369762324999999947e+01,8.258218181911779254e+00,1.250612064966851733e+01,-1.191502600331482142e+00,4.247902467756738076e+00
3.868750000000000000e+02,1.283466529999999928e+01,8.240916707157264653e+00,1.250261649525500651e+01,-3.320488047449927649e-01,4.261699788097741859e+00
3.875000000000000000e+02,1.194005774999999936e+01,8.223615232402750053e+00,1.249813075392759210e+01,5.580730039275927368e-01,4.274515521524842043e+00
3.881250000000000000e+02,1.241057014000000081e+01,8.206313757648237228e+00,1.249276572830611443e+01,8.219558830611362055e-02,4.286451970657878086e+00
3.887500000000000000e+02,1.283888435000000072e+01,8.189012282893722627e+00,1.248659274141449416e+01,-3.522916085855065660e-01,4.297580458520772417e+00
3.893750000000000000e+02,1.236837195999999928e+01,8.171710808139208027e+00,1.247971882906468011e+01,1.113468690646808312e-01,4.308008020925472970e+00
3.900000000000000000e+02,1.303088759999999979e+01,8.154409333384693426e+00,1.247223279485504754e+01,-5.586548051449522490e-01,4.317823461470354118e+00
3.906250000000000000e+02,1.181557178000000086e+01,8.137107858630178825e+00,1.246422761537949953e+01,6.486558353794986687e-01,4.327119756749319812e+00
3.912500000000000000e+02,1.365542506999999972e+01,8.119806383875664224e+00,1.245583053930298512e+01,-1.199594530697014605e+00,4.336024155427320892e+00
3.918750000000000000e+02,1.424409389000000026e+01,8.102591680908643568e+00,1.244722455343792156e+01,-1.796869336562078701e+00,4.344632872529277989e+00
3.925000000000000000e+02,1.084500693999999932e+01,8.085378335608798039e+00,1.243843369975153479e+01,1.593426759751535471e+00,4.353055364142737638e+00
3.931250000000000000e+02,1.055594729999999970e+01,8.068164990308954287e+00,1.242954849711645693e+01,1.873601197116457229e+00,4.361383506807502641e+00
3.937500000000000000e+02,1.205821322999999978e+01,8.050951645009108759e+00,1.242067416075881070e+01,3.624609307588109175e-01,4.369722515749701053e+00
3.943750000000000000e+02,1.329251861999999917e+01,8.033738299709263231e+00,1.241189693330158050e+01,-8.806216866984186709e-01,4.378158633592317273e+00
3.950000000000000000e+02,1.270806980000000053e+01,8.016524954409417703e+00,1.240330716305032865e+01,-3.047626369496718723e-01,4.386782208640911840e+00
3.956250000000000000e+02,1.050108909999999973e+01,7.999311609109573062e+00,1.239499186661759467e+01,1.893902766617594935e+00,4.395680257508021604e+00
3.962500000000000000e+02,1.156449126999999955e+01,7.982098263809727534e+00,1.238701029055535230e+01,8.225190205553527534e-01,4.404912026745625653e+00
