Frequency_Hz,SPL_dB
4.360914607745829130e+02,-1.232311767143828618e+00
4.401670819033172961e+02,3.565572730362784881e+00
4.442427030320517360e+02,7.306212099965186724e+00
4.483183241607861191e+02,9.574148203377484734e+00
4.523939452895205591e+02,4.021507867729683383e+00
4.564695664182549990e+02,5.240936629709088912e+00
4.605451875469893821e+02,9.005299847543884795e+00
4.646208086757238220e+02,8.823648680833141356e+00
4.686964298044582620e+02,9.526855596251778024e+00
4.727720509331926451e+02,6.640205415421243096e+00
4.768476720619270850e+02,2.552263173944069763e+00
4.809232931906615249e+02,-2.346558430479147361e+00
4.849989143193959080e+02,2.589761920652584593e+00
4.890745354481303480e+02,4.069492319746202291e+00
4.931501565768647879e+02,7.109549267565035358e+00
4.972257777055991710e+02,7.688941280211677665e+00
5.013013988343336109e+02,8.605855170076601723e-01
5.053770199630679940e+02,5.737396631947813574e+00
5.094526410918024339e+02,8.315410869457091181e+00
5.135282622205368170e+02,7.068663225823307528e+00
5.176038833492713138e+02,2.950343468237286437e+00
5.216795044780056969e+02,2.417138797478090240e+00
5.257551256067400800e+02,8.092663405138068811e+00
5.298307467354745768e+02,4.462588324334989309e+00
5.339063678642089599e+02,3.431927634596067200e+00
5.379819889929433430e+02,5.832066383368974094e+00
5.420576101216778397e+02,8.735269642018128167e+00
5.461332312504122228e+02,7.600513277204093754e+00
5.502088523791466059e+02,-2.719500111865475134e+00
5.542844735078811027e+02,2.019107231450405493e+00
5.583600946366154858e+02,4.313505226670518944e+00
5.624357157653498689e+02,7.074082783107947137e+00
5.665113368940843657e+02,1.064929689800840329e+01
5.705869580228187488e+02,8.628341872845433969e+00
5.746625791515531319e+02,9.278585657125942632e+00
5.787382002802875149e+02,9.004267074546341121e+00
5.828138214090220117e+02,4.358085446753415582e+00
5.868894425377563948e+02,4.676851509402137452e+00
5.909650636664907779e+02,7.760476546745653792e+00
5.950406847952252747e+02,6.446162587650166031e+00
5.991163059239596578e+02,5.238514088384578216e+00
6.031919270526940409e+02,6.884583435056873313e+00
6.072675481814285376e+02,4.529850771490949057e+00
6.113431693101629207e+02,6.088138492300386062e+00
6.154187904388973038e+02,2.856190931905675967e+00
6.194944115676318006e+02,4.732492040185744209e+00
6.235700326963661837e+02,4.649194454130363141e+00
6.276456538251005668e+02,7.469255349314138925e-01
6.317212749538350636e+02,1.489404383653619490e+00
6.357968960825694467e+02,3.145892039644270000e+00
6.398725172113038298e+02,3.398633455405820847e+00
6.439481383400383265e+02,3.501303563991442047e+00
6.480237594687727096e+02,9.122525816379814856e+00
6.520993805975070927e+02,7.513016755043059547e+00
6.561750017262415895e+02,5.604728376850011351e+00
6.602506228549759726e+02,1.185893740787609119e+00
6.643262439837103557e+02,-1.764041970745587662e+00
6.684018651124448525e+02,4.266708352279477978e+00
6.724774862411792355e+02,2.474861394973533635e+00
6.765531073699136186e+02,-5.457020708361827843e+00
6.806287284986480017e+02,-7.543080682297080841e+00
6.847043496273824985e+02,4.753133051036341428e+00
6.887799707561168816e+02,6.369752274065969999e+00
6.928555918848512647e+02,2.902246432667213938e+00
6.969312130135857615e+02,2.814100182945026063e+00
7.010068341423201446e+02,5.032014168183039260e+00
7.050824552710545277e+02,5.921525719057450843e+00
7.091580763997890244e+02,4.665775459971443162e+00
7.132336975285234075e+02,5.319107649283180805e+00
7.173093186572577906e+02,5.031921844202162930e+00
7.213849397859922874e+02,5.047703618905448053e-01
7.254605609147266705e+02,1.543272254890126760e+00
7.295361820434610536e+02,1.460651987958669906e+00
7.336118031721955504e+02,2.781529015594266241e-01
7.376874243009299335e+02,-3.439125722180714106e+00
7.417630454296643165e+02,2.661751214430871926e+00
7.458386665583988133e+02,7.134665080188611341e-01
7.499142876871331964e+02,-1.538042429202718608e+00
7.539899088158675795e+02,1.188645966367170459e+00
7.580655299446020763e+02,4.480558889190689342e+00
7.621411510733364594e+02,2.127325824751476802e+00
7.662167722020708425e+02,-1.772495657224871124e+00
7.702923933308053392e+02,3.156811934764788496e+00
7.743680144595397223e+02,6.233845961259430801e+00
7.784436355882741054e+02,5.517519086505972226e+00
7.825192567170086022e+02,1.443025790723405422e+00
7.865948778457429853e+02,-3.385126886638282429e+00
7.906704989744773684e+02,1.157183216853274743e+00
7.947461201032117515e+02,3.328191260309198540e+00
7.988217412319462483e+02,2.147339937330764670e+00
8.028973623606806314e+02,-1.888611520664669641e+00
8.069729834894150144e+02,-4.429919661703513256e+00
8.110486046181495112e+02,3.486373332837189309e-01
8.151242257468838943e+02,4.082834731705973219e+00
8.191998468756182774e+02,2.841020230407632852e+00
8.232754680043527742e+02,-2.051177758193006184e+00
8.273510891330871573e+02,1.009113612809287019e-02
8.314267102618215404e+02,2.823485160212008793e+00
8.355023313905560371e+02,5.398624708527024474e+00
8.395779525192904202e+02,4.555849874447734038e+00
8.436535736480248033e+02,2.912832831963672930e+00
8.477291947767593001e+02,2.460913186594687829e+00
8.518048159054936832e+02,2.652823450397526983e+00
8.558804370342280663e+02,2.922490235899023681e+00
8.599560581629625631e+02,-1.032986955847345456e+00
8.640316792916969462e+02,-5.597215564253918529e+00
8.681073004204313293e+02,-1.825375354479112033e+00
8.721829215491658260e+02,-1.498360554248023391e+00
8.762585426779002091e+02,-3.368582172656353180e+00
8.803341638066345922e+02,-2.784430601930568017e+00
8.844097849353690890e+02,-5.440498644596729605e+00
8.884854060641034721e+02,-2.206155649260900020e+00
8.925610271928378552e+02,2.884966002154610187e+00
8.966366483215722383e+02,2.735437329653201743e+00
9.007122694503067351e+02,-1.352475874837661962e+00
9.047878905790411181e+02,3.937275429955766626e+00
9.088635117077755012e+02,2.661413511632952478e+00
9.129391328365099980e+02,1.997782607689988055e+00
9.170147539652443811e+02,2.234918913417487829e+00
9.210903750939787642e+02,4.832804088173912049e+00
9.251659962227132610e+02,4.059995654197175341e+00
9.292416173514476441e+02,-2.035185833094718788e+00
9.333172384801820272e+02,4.577402580077626126e+00
9.373928596089165239e+02,-4.394651980271575553e-01
9.414684807376509070e+02,-3.127756663869288190e+00
9.455441018663852901e+02,2.640334144744713285e+00
9.496197229951197869e+02,-6.061388387065704819e-01
9.536953441238541700e+02,-5.220241009515453001e+00
9.577709652525885531e+02,1.399999459325750095e+00
9.618465863813230499e+02,4.104792149558481817e+00
9.659222075100574330e+02,4.924305139216322402e+00
9.699978286387918160e+02,-2.417922379408066647e+00
9.740734497675263128e+02,-6.626307551313850297e+00
9.781490708962606959e+02,2.130737853390495928e+00
9.822246920249950790e+02,4.770601183278118107e+00
9.863003131537295758e+02,-3.037871198241765214e+00
9.903759342824639589e+02,2.272282050885621629e+00
9.944515554111983420e+02,3.592807763164385548e+00
9.985271765399327251e+02,2.620632998946806680e+00
1.002602797668667222e+03,4.105485271242077516e-01
1.006678418797401605e+03,-2.127834080505547121e+00
1.010754039926135988e+03,7.186352738845691590e-01
1.014829661054870485e+03,-3.851925602854155528e+00
1.018905282183604868e+03,-5.403927547793188069e-01
1.022980903312339251e+03,-1.064103726516442805e+00
1.027056524441073634e+03,-4.473790313463787527e+00
1.031132145569808245e+03,2.353870169429871595e+00
1.035207766698542628e+03,6.117800015887731035e+00
1.039283387827277011e+03,1.933689042216919063e+00
1.043359008956011394e+03,-5.728555379351728760e+00
